Commodity;Classification;Grade;Sex;Market;Wholesale;Retail;Supply Volume;County;Date
Dry Maize;White Maize;-;-;Chebunyo;30.00/Kg;33.33/Kg;86400;Bomet;2021-10-18
Dry Maize;White Maize;-;-;Poro market;33.33/Kg;0.04/Kg;90;Samburu;2021-10-18
Dry Maize;White Maize;-;-;Luanda;31.11/Kg;30.00/Kg;2000;Vihiga;2021-10-18
Dry Maize;Yellow Maize;-;-;Nakuru Wakulima; - ;45.00/Kg;180;Nakuru;2021-10-18
Dry Maize;Mixed-Traditional ;-;-;Marikiti; - ;40.00/Kg;;Mombasa;2021-10-18
Dry Maize;White Maize;-;-;Nakuru Wakulima;28.89/Kg;35.00/Kg;4500;Nakuru;2021-10-18
Dry Maize;-;-;-;Nakuru Wakulima;136.00/Kg;150.00/Kg;0;Nakuru;2021-10-18
Dry Maize;White Maize;-;-;Eldama Ravine;30.00/Kg;36.00/Kg;800;Baringo;2021-10-18
Dry Maize;Mixed-Traditional ;-;-;Machakos Main Market;33.33/Kg;40.00/Kg;;Machakos;2021-10-18
Dry Maize;White Maize;-;-;Kutus;30.00/Kg;35.65/Kg;4500;Kirinyaga;2021-10-18
Dry Maize;White Maize;-;-;Soko mpya;40.00/Kg;45.00/Kg;900;Nyandarua;2021-10-18
Dry Maize;White Maize;-;-;Kiritiri;30.00/Kg;40.00/Kg;15800;Embu;2021-10-18
Dry Maize;Mixed-Traditional ;-;-;Garissa Soko Mugdi;56.00/Kg;80.00/Kg;30000;Garissa;2021-10-18
Dry Maize;White Maize;-;-;Eldoret Main;40.00/Kg;45.00/Kg;500;Uasin-Gishu;2021-10-18
Dry Maize;White Maize;-;-;Kalundu;33.33/Kg;35.00/Kg;;Kitui;2021-10-18
Dry Maize;Mixed-Traditional ;-;-;Othaya;33.33/Kg;40.00/Kg;10800;Nyeri;2021-10-18
Dry Maize;White Maize;-;-;Muhoroni;40.00/Kg;45.00/Kg;5000;Kisumu;2021-10-18
Dry Maize;White Maize;-;-;Mabera;25.36/Kg;27.17/Kg;1800;Migori;2021-10-17
Dry Maize;White Maize;-;-;Kibiok;32.50/Kg;35.00/Kg;14000;Nandi;2021-10-17
Dry Maize;White Maize;-;-;Malimili Livestock Market;30.00/Kg;32.00/Kg;8100;Kakamega;2021-10-17
Dry Maize;White Maize;-;-;Kasuku;30.00/Kg;40.00/Kg;90;Nyandarua;2021-10-17
Dry Maize;Mixed-Traditional ;-;-;Lomut;37.78/Kg;45.00/Kg;20000;West-Pokot;2021-10-16
Dry Maize;White Maize;-;-;Kapsabet Market;40.00/Kg;36.00/Kg;18000;Nandi;2021-10-16
Dry Maize;White Maize;-;-;Nanyuki Open Air Market;33.33/Kg;50.00/Kg;2500;Laikipia;2021-10-16
Dry Maize;White Maize;-;-;Lekuru;32.22/Kg;40.00/Kg;4500;Samburu;2021-10-16
Dry Maize;White Maize;-;-;Elwak Market;46.00/Kg;55.00/Kg;1150;Mandera;2021-10-16
Dry Maize;White Maize;-;-;Mukuyu Market;33.33/Kg;40.00/Kg;;Muranga;2021-10-16
Dry Maize;Mixed-Traditional ;-;-;Mbita;0.72/Kg;45.00/Kg;10000;Homa-bay;2021-10-16
Dry Maize;White Maize;-;-;Nyahururu Municipal Market;28.89/Kg;35.00/Kg;40000;Laikipia;2021-10-15
Dry Maize;-;-;-;Nyahururu Municipal Market;122.22/Kg;150.00/Kg;350;Laikipia;2021-10-15
Dry Maize;White Maize;-;-;Muthurwa;27.78/Kg;32.00/Kg;54000;Narok;2021-10-15
Dry Maize;Mixed-Traditional ;-;-;Marindi; - ;42.61/Kg;1260;Migori;2021-10-15
Dry Maize;Mixed-Traditional ;-;-;Sikhendu;24.44/Kg;35.00/Kg;180;Trans-Nzoia;2021-10-15
Dry Maize;White Maize;-;-;Eldoret Main;40.00/Kg;45.00/Kg;500;Uasin-Gishu;2021-10-15
Dry Maize;Mixed-Traditional ;-;-;Chepseon;21.11/Kg;23.33/Kg;550;Kericho;2021-10-15
Dry Maize;White Maize;-;-;Kamukuywa;27.50/Kg;30.00/Kg;800;Bungoma;2021-10-15
Dry Maize;White Maize;-;-;Gakindu;32.22/Kg;36.36/Kg;6300;Nyeri;2021-10-15
Dry Maize;Mixed-Traditional ;-;-;Machakos Main Market;33.33/Kg;40.00/Kg;;Machakos;2021-10-15
Dry Maize;Yellow Maize;-;-;Nakuru Wakulima;40.00/Kg;45.00/Kg;0;Nakuru;2021-10-15
Dry Maize;White Maize;-;-;Nakuru Wakulima;28.89/Kg;35.00/Kg;0;Nakuru;2021-10-15
Dry Maize;-;-;-;Nakuru Wakulima;136.00/Kg;150.00/Kg;0;Nakuru;2021-10-15
Dry Maize;White Maize;-;-;Makutano West Pokot;31.67/Kg;36.00/Kg;;West-Pokot;2021-10-15
Dry Maize;Mixed-Traditional ;-;-;Rongo;26.67/Kg;27.78/Kg;9000;Migori;2021-10-15
Dry Maize;Yellow Maize;-;-;Awendo; - ;23.12/Kg;3500;Migori;2021-10-15
Dry Maize;White Maize;-;-;Awendo; - ;40.00/Kg;8000;Migori;2021-10-15
Dry Maize;Mixed-Traditional ;-;-;Gakoromone;33.33/Kg;40.00/Kg;6000;Meru;2021-10-15
Dry Maize;White Maize;-;-;Kimumu;0.03/Kg;45.00/Kg;3300;Uasin-Gishu;2021-10-15
Dry Maize;White Maize;-;-;Kilingili;25.00/Kg;30.00/Kg;12000;Vihiga;2021-10-15
Dry Maize;White Maize;-;-;Bungoma town;30.00/Kg;32.50/Kg;18000;Bungoma;2021-10-15
Dry Maize;Mixed-Traditional ;-;-;Tala Centre Market;27.00/Kg;35.00/Kg;39400;Machakos;2021-10-15
Dry Maize;White Maize;-;-;Oyugis;33.33/Kg;35.00/Kg;5400;Homa-bay;2021-10-15
Dry Maize;White Maize;-;-;Sibanga;24.44/Kg;27.08/Kg;4050;Trans-Nzoia;2021-10-15
Dry Maize;Mixed-Traditional ;-;-;Soko mpya;80.00/Kg;35.00/Kg;720;Nyandarua;2021-10-15
