Commodity;Classification;Grade;Sex;Market;Wholesale;Retail;Supply Volume;County;Date
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-22
Dry Maize;-;-;-;Nyahururu Municipal Market;26.67/Kg; - ;;Laikipia;2013-03-22
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-22
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-22
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-22
Dry Maize;-;-;-;Kongowea;31.67/Kg; - ;;Mombasa;2013-03-22
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-21
Dry Maize;-;-;-;Kakamega Town;33.33/Kg; - ;;Kakamega;2013-03-21
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-21
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-21
Dry Maize;-;-;-;Kongowea;31.67/Kg; - ;;Mombasa;2013-03-21
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-21
Dry Maize;-;-;-;Busia Market;40.00/Kg; - ;;Busia;2013-03-21
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-21
Dry Maize;-;-;-;Kongowea;31.67/Kg; - ;;Mombasa;2013-03-20
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-20
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-20
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-20
Dry Maize;-;-;-;Kitale Municipality Market;27.78/Kg; - ;;Trans-Nzoia;2013-03-20
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-20
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-20
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-19
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-19
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-19
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-19
Dry Maize;-;-;-;Kongowea;31.67/Kg; - ;;Mombasa;2013-03-19
Dry Maize;-;-;-;Chwele;35.56/Kg; - ;;Bungoma;2013-03-19
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-19
Dry Maize;-;-;-;Taveta;33.33/Kg; - ;;Taita-Taveta;2013-03-18
Dry Maize;-;-;-;Kongowea;31.67/Kg; - ;;Mombasa;2013-03-18
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-18
Dry Maize;-;-;-;Busia Market;40.00/Kg; - ;;Busia;2013-03-18
Dry Maize;-;-;-;Daraja Mbili;35.56/Kg; - ;;Kisii;2013-03-18
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-18
Dry Maize;-;-;-;Taveta;33.33/Kg; - ;;Taita-Taveta;2013-03-18
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-18
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-18
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-18
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-18
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-15
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-15
Dry Maize;-;-;-;Kitale Municipality Market;27.78/Kg; - ;;Trans-Nzoia;2013-03-15
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-15
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-15
Dry Maize;-;-;-;Kongowea;31.67/Kg; - ;;Mombasa;2013-03-15
Dry Maize;-;-;-;Siaya;33.33/Kg; - ;;Siaya;2013-03-15
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-15
Dry Maize;-;-;-;Nyahururu Municipal Market;26.11/Kg; - ;;Laikipia;2013-03-15
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-14
Dry Maize;-;-;-;Kongowea;31.67/Kg; - ;;Mombasa;2013-03-14
Dry Maize;-;-;-;Embu Town;22.22/Kg; - ;;Embu;2013-03-14
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-14
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-14
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-14
Dry Maize;-;-;-;Kakamega Town;33.33/Kg; - ;;Kakamega;2013-03-14
Dry Maize;-;-;-;Busia Market;45.00/Kg; - ;;Busia;2013-03-14
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-14
Dry Maize;-;-;-;Daraja Mbili;33.33/Kg; - ;;Kisii;2013-03-14
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-13
Dry Maize;-;-;-;Taveta;33.33/Kg; - ;;Taita-Taveta;2013-03-13
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-13
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-13
Dry Maize;-;-;-;Busia Market;40.00/Kg; - ;;Busia;2013-03-13
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-13
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-13
Dry Maize;-;-;-;Taveta;33.33/Kg; - ;;Taita-Taveta;2013-03-13
Dry Maize;-;-;-;Kongowea;31.67/Kg; - ;;Mombasa;2013-03-13
Dry Maize;-;-;-;Kitale Municipality Market;27.78/Kg; - ;;Trans-Nzoia;2013-03-13
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-12
Dry Maize;-;-;-;Kongowea;33.33/Kg; - ;;Mombasa;2013-03-12
Dry Maize;-;-;-;Kitale Municipality Market;27.78/Kg; - ;;Trans-Nzoia;2013-03-12
Dry Maize;-;-;-;Nyahururu Municipal Market;26.67/Kg; - ;;Laikipia;2013-03-12
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-12
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-12
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-12
Dry Maize;-;-;-;Embu Town;22.22/Kg; - ;;Embu;2013-03-12
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-12
Dry Maize;-;-;-;Loitoktok Market;30.00/Kg; - ;;Kajiado;2013-03-12
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-11
Dry Maize;-;-;-;Taveta;33.33/Kg; - ;;Taita-Taveta;2013-03-11
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-11
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-11
Dry Maize;-;-;-;Daraja Mbili;35.56/Kg; - ;;Kisii;2013-03-11
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-11
Dry Maize;-;-;-;Loitoktok Market;30.00/Kg; - ;;Kajiado;2013-03-11
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-11
Dry Maize;-;-;-;Taveta;33.33/Kg; - ;;Taita-Taveta;2013-03-11
Dry Maize;-;-;-;Kongowea;33.33/Kg; - ;;Mombasa;2013-03-11
Dry Maize;-;-;-;Embu Town;22.22/Kg; - ;;Embu;2013-03-11
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-08
Dry Maize;-;-;-;Kongowea;33.33/Kg; - ;;Mombasa;2013-03-08
Dry Maize;-;-;-;Nyahururu Municipal Market;27.78/Kg; - ;;Laikipia;2013-03-08
Dry Maize;-;-;-;Mwingi Town;25.00/Kg; - ;;Kitui;2013-03-08
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-08
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-08
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-08
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-08
Dry Maize;-;-;-;Chwele;33.33/Kg; - ;;Bungoma;2013-03-08
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-07
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-07
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-07
Dry Maize;-;-;-;Daraja Mbili;33.33/Kg; - ;;Kisii;2013-03-07
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-07
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-07
Dry Maize;-;-;-;Kongowea;33.33/Kg; - ;;Mombasa;2013-03-07
Dry Maize;-;-;-;Taveta;33.33/Kg; - ;;Taita-Taveta;2013-03-06
Dry Maize;-;-;-;Kitale Municipality Market;27.78/Kg; - ;;Trans-Nzoia;2013-03-06
Dry Maize;-;-;-;Nakuru Wakulima;28.89/Kg; - ;;Nakuru;2013-03-06
Dry Maize;-;-;-;Kongowea;33.33/Kg; - ;;Mombasa;2013-03-06
Dry Maize;-;-;-;Taveta;33.33/Kg; - ;;Taita-Taveta;2013-03-06
Dry Maize;-;-;-;Malindi Old Market;40.00/Kg; - ;;Kilifi;2013-03-06
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-06
Dry Maize;-;-;-;Embu Town;22.22/Kg; - ;;Embu;2013-03-06
Dry Maize;-;-;-;Kibuye;40.00/Kg; - ;;Kisumu;2013-03-06
Dry Maize;-;-;-;Nairobi Wakulima;35.56/Kg; - ;;Nairobi;2013-03-06
Dry Maize;-;-;-;Eldoret Main;30.00/Kg; - ;;Uasin-Gishu;2013-03-05
Dry Maize;-;-;-;Kibuye;37.78/Kg; - ;;Kisumu;2013-03-05
