Commodity;Classification;Grade;Sex;Market;Wholesale;Retail;Supply Volume;County;Date
Dry Maize;White Maize;-;-;Aram;37.22/Kg;43.84/Kg;23400;Siaya;2022-03-21
Dry Maize;Mixed-Traditional ;-;-;Aram;42.08/Kg;44.41/Kg;950;Siaya;2022-03-21
Dry Maize;White Maize;-;-;Makutano West Pokot;32.22/Kg;36.00/Kg;;West-Pokot;2022-03-21
Dry Maize;White Maize;-;-;Rhamu Market;52.00/Kg;70.00/Kg;1500;Mandera;2022-03-21
Dry Maize;White Maize;-;-;Kangemi Market;35.00/Kg;50.00/Kg;;Nairobi;2022-03-21
Dry Maize;White Maize;-;-;Kiritiri;36.00/Kg;40.00/Kg;4990;Embu;2022-03-21
Dry Maize;White Maize;-;-;Kutus;33.33/Kg;45.66/Kg;3600;Kirinyaga;2022-03-21
Dry Maize;Mixed-Traditional ;-;-;Kiritiri;36.00/Kg;40.00/Kg;5300;Embu;2022-03-21
Dry Maize;White Maize;-;-;Kagio;35.56/Kg;40.00/Kg;;Kirinyaga;2022-03-21
Dry Maize;Mixed-Traditional ;-;-;Diani Market;40.00/Kg;50.00/Kg;3000;Kwale;2022-03-21
Dry Maize;Mixed-Traditional ;-;-;Garissa Soko Mugdi;44.00/Kg;60.00/Kg;20000;Garissa;2022-03-21
Dry Maize;Yellow Maize;-;-;Kibuye;46.67/Kg;60.00/Kg;;Kisumu;2022-03-20
Dry Maize;White Maize;-;-;Kibiok;40.00/Kg;42.50/Kg;5000;Nandi;2022-03-20
Dry Maize;White Maize;-;-;Kibuye;44.44/Kg;42.50/Kg;;Kisumu;2022-03-20
Dry Maize;-;-;-;Kibuye; - ;200.00/Kg;;Kisumu;2022-03-20
Dry Maize;Mixed-Traditional ;-;-;Kibuye;28.89/Kg;30.00/Kg;;Kisumu;2022-03-20
Dry Maize;Mixed-Traditional ;-;-;Kambu;40.00/Kg;44.44/Kg;30000;Makueni;2022-03-20
Dry Maize;White Maize;-;-;Muhoroni;40.00/Kg;50.00/Kg;7000;Kisumu;2022-03-20
Dry Maize;White Maize;-;-;Kasuku;33.33/Kg;40.00/Kg;45;Nyandarua;2022-03-20
Dry Maize;Mixed-Traditional ;-;-;Akala;28.89/Kg;35.00/Kg;5000;Siaya;2022-03-19
Dry Maize;Mixed-Traditional ;-;-;Lomut;44.44/Kg;55.00/Kg;15000;West-Pokot;2022-03-19
Dry Maize;Mixed-Traditional ;-;-;Mbale;33.33/Kg;47.22/Kg;120000;Vihiga;2022-03-19
Dry Maize;White Maize;-;-;Athi River Open air Market;38.89/Kg;50.00/Kg;990;Machakos;2022-03-19
Dry Maize;White Maize;-;-;Embu Town;36.67/Kg;45.00/Kg;3800;Embu;2022-03-19
Dry Maize;Mixed-Traditional ;-;-;Samburu;50.00/Kg;55.00/Kg;800;Kwale;2022-03-19
Dry Maize;White Maize;-;-;Ugunja;35.56/Kg;45.00/Kg;;Siaya;2022-03-18
Dry Maize;White Maize;-;-;Bondo;36.67/Kg;40.00/Kg;28000;Siaya;2022-03-18
Dry Maize;White Maize;-;-;Eldoret Main;45.00/Kg;50.00/Kg;500;Uasin-Gishu;2022-03-18
Dry Maize;Mixed-Traditional ;-;-;Cheptulu; - ;42.50/Kg;1900;Vihiga;2022-03-18
Dry Maize;Mixed-Traditional ;-;-;Marindi; - ;39.51/Kg;3600;Migori;2022-03-18
Dry Maize;White Maize;-;-;Siakago;35.00/Kg;40.00/Kg;3000;Embu;2022-03-18
Dry Maize;White Maize;-;-;Nyangusu;37.78/Kg;1440.00/Kg;900;Kisii;2022-03-18
Dry Maize;White Maize;-;-;Makutano West Pokot;3.22/Kg;36.00/Kg;;West-Pokot;2022-03-18
Dry Maize;White Maize;-;-;Ngurubani Market;33.33/Kg;40.00/Kg;5000;Kirinyaga;2022-03-18
Dry Maize;Mixed-Traditional ;-;-;Tala Centre Market;32.00/Kg;40.00/Kg;20600;Machakos;2022-03-18
Dry Maize;Yellow Maize;-;-;Nakuru Wakulima;50.00/Kg;60.00/Kg;0;Nakuru;2022-03-18
Dry Maize;White Maize;-;-;Nakuru Wakulima;35.56/Kg;40.00/Kg;2700;Nakuru;2022-03-18
Dry Maize;White Maize;-;-;Kisasi;40.00/Kg;45.00/Kg;5600;Kitui;2022-03-18
Dry Maize;-;-;-;Nakuru Wakulima;148.00/Kg;160.00/Kg;0;Nakuru;2022-03-18
Dry Maize;White Maize;-;-;Sibanga;33.33/Kg;45.00/Kg;1080;Trans-Nzoia;2022-03-18
Dry Maize;Mixed-Traditional ;-;-;Chuka;33.33/Kg;45.00/Kg;4500;Tharaka-Nithi;2022-03-18
Dry Maize;White Maize;-;-;Kangemi Market;35.00/Kg;50.00/Kg;;Nairobi;2022-03-18
Dry Maize;White Maize;-;-;Kasikeu;0.39/Kg;0.50/Kg;6000;Makueni;2022-03-18
Dry Maize;Mixed-Traditional ;-;-;Mogogosiek Market;33.33/Kg;45.00/Kg;10000;Bomet;2022-03-18
Dry Maize;White Maize;-;-;Mumias;32.00/Kg;36.00/Kg;5000;Kakamega;2022-03-18
Dry Maize;Mixed-Traditional ;-;-;Emali Market;42.22/Kg;45.00/Kg;200000;Makueni;2022-03-18
Dry Maize;Yellow Maize;-;-;Daraja Mbili;28.89/Kg;48.00/Kg;200;Kisii;2022-03-17
Dry Maize;White Maize;-;-;Daraja Mbili;28.89/Kg;40.00/Kg;3000;Kisii;2022-03-17
Dry Maize;White Maize;-;-;Kaanwa;27.50/Kg;30.00/Kg;800;Tharaka-Nithi;2022-03-17
Dry Maize;White Maize;-;-;Flax;31.00/Kg;34.00/Kg;540;Elgeyo-Marakwet;2022-03-17
Dry Maize;Yellow Maize;-;-;Nakuru Wakulima;50.00/Kg;60.00/Kg;0;Nakuru;2022-03-17
Dry Maize;White Maize;-;-;Nakuru Wakulima;35.56/Kg;40.00/Kg;0;Nakuru;2022-03-17
Dry Maize;-;-;-;Nakuru Wakulima;148.00/Kg;160.00/Kg;0;Nakuru;2022-03-17
Dry Maize;White Maize;-;-;Kutus;33.33/Kg;40.00/Kg;6300;Kirinyaga;2022-03-17
Dry Maize;Mixed-Traditional ;-;-;Chepareria;31.00/Kg;34.00/Kg;63000;West-Pokot;2022-03-17
Dry Maize;Mixed-Traditional ;-;-;Kapkayo;35.00/Kg;40.00/Kg;1200;Elgeyo-Marakwet;2022-03-17
Dry Maize;White Maize;-;-;Mabera;32.00/Kg;36.00/Kg;5000;Migori;2022-03-17
Dry Maize;Yellow Maize;-;-;Ndhiwa;35.00/Kg;40.00/Kg;1000;Homa-bay;2022-03-17
Dry Maize;White Maize;-;-;Ndhiwa;35.00/Kg;40.00/Kg;5000;Homa-bay;2022-03-17
Dry Maize;Mixed-Traditional ;-;-;Eldoret Main;71.00/Kg;75.00/Kg;69000;Uasin-Gishu;2022-03-17
Dry Maize;White Maize;-;-;Muhoroni;40.00/Kg;50.00/Kg;3000;Kisumu;2022-03-17
Dry Maize;White Maize;-;-;Kiritiri;36.00/Kg;40.00/Kg;4900;Embu;2022-03-17
Dry Maize;Mixed-Traditional ;-;-;Kiritiri;36.00/Kg;40.00/Kg;4700;Embu;2022-03-17
Dry Maize;Mixed-Traditional ;-;-;Kinango;46.67/Kg;50.00/Kg;6500;Kwale;2022-03-17
Dry Maize;White Maize;-;-;Marigat;35.00/Kg;40.00/Kg;14000;Baringo;2022-03-17
Dry Maize;White Maize;-;-;Katito;35.56/Kg;45.00/Kg;3500;Kisumu;2022-03-17
Dry Maize;White Maize;-;-;Kangemi Market;30.00/Kg;50.00/Kg;;Nairobi;2022-03-17
Dry Maize;White Maize;-;-;Garissa Soko Mugdi;44.00/Kg;60.00/Kg;10000;Garissa;2022-03-17
Dry Maize;White Maize;-;-;Rhamu Market;52.00/Kg;70.00/Kg;1200;Mandera;2022-03-17
Dry Maize;White Maize;-;-;Takaba Market;46.00/Kg;60.00/Kg;7000;Mandera;2022-03-17
Dry Maize;Mixed-Traditional ;-;-;Mbita;32.50/Kg;50.00/Kg;10000;Homa-bay;2022-03-17
Dry Maize;White Maize;-;-;Aram;37.78/Kg;46.15/Kg;22500;Siaya;2022-03-17
Dry Maize;Mixed-Traditional ;-;-;Aram;42.08/Kg;46.75/Kg;2500;Siaya;2022-03-17
Dry Maize;White Maize;-;-;Nyeri open air;3350.00/Kg;50.00/Kg;6300;Nyeri;2022-03-16
Dry Maize;White Maize;-;-;Webuye town;45.00/Kg;50.00/Kg;54000;Bungoma;2022-03-16
Dry Maize;White Maize;-;-;Kapcherop;28.89/Kg;37.50/Kg;10800;Elgeyo-Marakwet;2022-03-16
Dry Maize;White Maize;-;-;Miruka;40.00/Kg;41.67/Kg;27000;Nyamira;2022-03-16
Dry Maize;Yellow Maize;-;-;Miruka; - ;45.83/Kg;450;Nyamira;2022-03-16
Dry Maize;White Maize;-;-;Akala;28.89/Kg;45.00/Kg;3500;Siaya;2022-03-16
Dry Maize;Yellow Maize;-;-;Nakuru Wakulima;50.00/Kg;60.00/Kg;0;Nakuru;2022-03-16
Dry Maize;White Maize;-;-;Nakuru Wakulima;35.56/Kg;40.00/Kg;0;Nakuru;2022-03-16
Dry Maize;-;-;-;Nakuru Wakulima;148.00/Kg;160.00/Kg;0;Nakuru;2022-03-16
Dry Maize;Mixed-Traditional ;-;-;Eldoret Main;72.00/Kg;75.00/Kg;5000;Uasin-Gishu;2022-03-16
Dry Maize;Mixed-Traditional ;-;-;Kajiado Market;38.89/Kg;60.00/Kg;1500;Kajiado;2022-03-16
Dry Maize;Mixed-Traditional ;-;-;Cheptiret - Uasin Gishu;32.00/Kg;40.00/Kg;1000;Uasin-Gishu;2022-03-16
Dry Maize;White Maize;-;-;Kathwana;33.33/Kg;40.00/Kg;9500;Tharaka-Nithi;2022-03-16
Dry Maize;White Maize;-;-;Mwingi Town;36.67/Kg;40.00/Kg;18000;Kitui;2022-03-16
Dry Maize;Mixed-Traditional ;-;-;Musoli Market;100.00/Kg;120.00/Kg;500;Kakamega;2022-03-16
Dry Maize;White Maize;-;-;Kabiyet Market;27.78/Kg;31.11/Kg;90000;Nandi;2022-03-16
Dry Maize;White Maize;-;-;Siaya; - ;54.55/Kg;;Siaya;2022-03-16
Dry Maize;Mixed-Traditional ;-;-;Siaya; - ;43.48/Kg;;Siaya;2022-03-16
Dry Maize;White Maize;-;-;Embu Town;36.67/Kg;45.00/Kg;3500;Embu;2022-03-16
Dry Maize;White Maize;-;-;Takaba Market;46.00/Kg;60.00/Kg;10000;Mandera;2022-03-16
Dry Maize;White Maize;-;-;Soko mpya;36.67/Kg;45.00/Kg;720;Nyandarua;2022-03-16
Dry Maize;White Maize;-;-;Ugunja; - ;42.50/Kg;;Siaya;2022-03-15
Dry Maize;Yellow Maize;-;-;Nyakoe;28.89/Kg;48.00/Kg;200;Kisii;2022-03-15
Dry Maize;White Maize;-;-;Nyakoe;27.78/Kg;40.00/Kg;2000;Kisii;2022-03-15
Dry Maize;White Maize;-;-;Bondo;35.56/Kg;40.00/Kg;28000;Siaya;2022-03-15
Dry Maize;Mixed-Traditional ;-;-;Ahero;45.00/Kg;50.00/Kg;540;Kisumu;2022-03-15
Dry Maize;White Maize;-;-;Ahero;45.00/Kg;50.00/Kg;3000;Kisumu;2022-03-15
Dry Maize;White Maize;-;-;Kathonzweni;37.00/Kg;40.00/Kg;13500;Makueni;2022-03-15
Dry Maize;White Maize;-;-;Kitengela;35.56/Kg;50.00/Kg;32000;Kajiado;2022-03-15
Dry Maize;White Maize;-;-;Athi River Open air Market;38.89/Kg;50.00/Kg;900;Machakos;2022-03-15
Dry Maize;Yellow Maize;-;-;Nakuru Wakulima;50.00/Kg;60.00/Kg;0;Nakuru;2022-03-15
Dry Maize;White Maize;-;-;Nakuru Wakulima;35.56/Kg;40.00/Kg;0;Nakuru;2022-03-15
Dry Maize;-;-;-;Nakuru Wakulima;148.00/Kg;160.00/Kg;0;Nakuru;2022-03-15
Dry Maize;Mixed-Traditional ;-;-;Nkubu;33.33/Kg;35.00/Kg;2700;Meru;2022-03-15
Dry Maize;White Maize;-;-;Kapsabet Market;44.44/Kg;40.00/Kg;900;Nandi;2022-03-15
Dry Maize;Mixed-Traditional ;-;-;Orolwo;32.00/Kg;36.00/Kg;480;West-Pokot;2022-03-15
Dry Maize;Mixed-Traditional ;-;-;Chuka;33.33/Kg;45.00/Kg;4500;Tharaka-Nithi;2022-03-15
Dry Maize;White Maize;-;-;Ngurubani Market;33.33/Kg;40.00/Kg;5000;Kirinyaga;2022-03-15
Dry Maize;White Maize;-;-;Rhamu Market;52.00/Kg;70.00/Kg;2000;Mandera;2022-03-15
Dry Maize;White Maize;-;-;Kapsowar;30.00/Kg;37.50/Kg;900;Elgeyo-Marakwet;2022-03-15
Dry Maize;Mixed-Traditional ;-;-;Eldoret Main;72.00/Kg;75.00/Kg;30000;Uasin-Gishu;2022-03-15
Dry Maize;White Maize;-;-;Kaare;30.00/Kg;30.00/Kg;3600;Tharaka-Nithi;2022-03-14
Dry Maize;White Maize;-;-;Luanda;36.67/Kg;36.00/Kg;4500;Vihiga;2022-03-14
Dry Maize;Mixed-Traditional ;-;-;Diani Market;40.00/Kg;50.00/Kg;3000;Kwale;2022-03-14
Dry Maize;White Maize;-;-;Mwangulu;36.00/Kg;40.00/Kg;1200;Kwale;2022-03-14
