Commodity;Classification;Grade;Sex;Market;Wholesale;Retail;Supply Volume;County;Date
Dry Maize;White Maize;-;-;Kipsitet;58.00/Kg;60.00/Kg;7200;Kericho;2022-12-15
Dry Maize;White Maize;-;-;Cheptulu; - ;70.00/Kg;1300;Vihiga;2022-12-15
Dry Maize;White Maize;-;-;Eldama Ravine;50.00/Kg;60.00/Kg;900;Baringo;2022-12-15
Dry Maize;White Maize;-;-;Maua;64.44/Kg;70.00/Kg;15300;Meru;2022-12-15
Dry Maize;White Maize;-;-;Nyamakima;70.00/Kg;80.00/Kg;;Nairobi;2022-12-15
Dry Maize;-;-;-;Nyamakima;172.00/Kg;200.00/Kg;;Nairobi;2022-12-15
Dry Maize;Yellow Maize;-;-;Nyamakima;94.44/Kg;110.00/Kg;;Nairobi;2022-12-15
Dry Maize;White Maize;-;-;Kagio;62.22/Kg;70.00/Kg;;Kirinyaga;2022-12-15
Dry Maize;Mixed-Traditional ;-;-;Chepareria;53.00/Kg;56.00/Kg;144000;West-Pokot;2022-12-15
Dry Maize;White Maize;-;-;Eldoret Main;60.00/Kg;75.00/Kg;6300;Uasin-Gishu;2022-12-15
Dry Maize;White Maize;-;-;Marigat;65.00/Kg;70.00/Kg;14000;Baringo;2022-12-15
Dry Maize;Mixed-Traditional ;-;-;Kawangware;60.00/Kg;67.27/Kg;15000;Nairobi;2022-12-15
Dry Maize;White Maize;-;-;Mbita;62.22/Kg;90.00/Kg;8000;Homa-bay;2022-12-15
Dry Maize;White Maize;-;-;Webuye town;70.00/Kg;75.00/Kg;18000;Bungoma;2022-12-14
Dry Maize;White Maize;-;-;Mwingi Town;64.44/Kg;70.00/Kg;18000;Kitui;2022-12-14
Dry Maize;Mixed-Traditional ;-;-;Kajiado Market;70.00/Kg;100.00/Kg;7000;Kajiado;2022-12-14
Dry Maize;White Maize;-;-;Nyeri open air;61.11/Kg;75.00/Kg;4500;Nyeri;2022-12-14
Dry Maize;White Maize;-;-;Mowlem Market;55.56/Kg;54.17/Kg;18000;Trans-Nzoia;2022-12-14
Dry Maize;White Maize;-;-;Kathwana;67.78/Kg;80.00/Kg;2340;Tharaka-Nithi;2022-12-14
Dry Maize;White Maize;-;-;Serem - Nandi;58.33/Kg;62.50/Kg;21000;Nandi;2022-12-14
Dry Maize;White Maize;-;-;Kapkatet;61.11/Kg;66.67/Kg;54000;Kericho;2022-12-14
Dry Maize;White Maize;-;-;Cheptiret - Uasin Gishu;60.00/Kg;80.00/Kg;5000;Uasin-Gishu;2022-12-14
Dry Maize;Yellow Maize;-;-;Nakuru Wakulima;70.00/Kg;80.00/Kg;1620;Nakuru;2022-12-14
Dry Maize;Mixed-Traditional ;-;-;Nakuru Wakulima;60.00/Kg;65.00/Kg;2250;Nakuru;2022-12-14
Dry Maize;White Maize;-;-;Kilingili;55.56/Kg;68.42/Kg;25000;Vihiga;2022-12-14
Dry Maize;Mixed-Traditional ;-;-;Kiserian crops market;55.56/Kg;60.00/Kg;10000;Kajiado;2022-12-14
Dry Maize;White Maize;-;-;Suneka;66.67/Kg;75.00/Kg;6720;Kisii;2022-12-14
Dry Maize;White Maize;-;-;Mulot;62.22/Kg;75.00/Kg;15000;Bomet;2022-12-14
Dry Maize;Mixed-Traditional ;-;-;Kawangware;60.00/Kg;69.09/Kg;12000;Nairobi;2022-12-14
Dry Maize;Mixed-Traditional ;-;-;Nakuru Top Market; - ;80.00/Kg;;Nakuru;2022-12-14
Dry Maize;White Maize;-;-;Serem - Vihiga;57.78/Kg;65.22/Kg;9000;Vihiga;2022-12-14
Dry Maize;White Maize;-;-;Engineer;57.78/Kg;90.00/Kg;5000;Nyandarua;2022-12-14
Dry Maize;White Maize;-;-;Akala;65.00/Kg;75.00/Kg;3500;Siaya;2022-12-14
Dry Maize;White Maize;-;-;Embu Town;63.33/Kg;75.00/Kg;3000;Embu;2022-12-14
Dry Maize;White Maize;-;-;Makutano Kirinyaga;63.33/Kg;140.00/Kg;5000;Kirinyaga;2022-12-14
Dry Maize;White Maize;-;-;Nyamakima;70.00/Kg;80.00/Kg;;Nairobi;2022-12-14
Dry Maize;-;-;-;Nyamakima;172.00/Kg;200.00/Kg;;Nairobi;2022-12-14
Dry Maize;Yellow Maize;-;-;Nyamakima;94.44/Kg;110.00/Kg;;Nairobi;2022-12-14
Dry Maize;White Maize;-;-;Kangeta;65.00/Kg;70.00/Kg;1440;Meru;2022-12-14
Dry Maize;White Maize;-;-;Eldoret Main;60.00/Kg;150.00/Kg;6300;Uasin-Gishu;2022-12-14
Dry Maize;Mixed-Traditional ;-;-;Mpeketoni;60.00/Kg;65.00/Kg;900;Lamu;2022-12-14
Dry Maize;White Maize;-;-;Soko mpya;66.67/Kg;66.67/Kg;1200;Nyandarua;2022-12-14
Dry Maize;White Maize;-;-;Ngurubani Market;65.56/Kg;90.00/Kg;6000;Kirinyaga;2022-12-13
Dry Maize;White Maize;-;-;Katito;71.11/Kg;76.19/Kg;3500;Kisumu;2022-12-13
Dry Maize;White Maize;-;-;Bondo;61.11/Kg;75.00/Kg;21000;Siaya;2022-12-13
Dry Maize;White Maize;-;-;Orolwo;52.00/Kg;56.00/Kg;920;West-Pokot;2022-12-13
Dry Maize;White Maize;-;-;Kakamega Town;55.56/Kg;75.00/Kg;50000;Kakamega;2022-12-13
