Commodity;Classification;Grade;Sex;Market;Wholesale;Retail;Supply Volume;County;Date
Dry Maize;Mixed-Traditional ;-;-;Kabiyet Market;38.89/Kg;42.00/Kg;10000;Nandi;2023-11-14
Dry Maize;White Maize;-;-;Kabiyet Market;36.67/Kg;35.00/Kg;18000;Nandi;2023-11-14
Dry Maize;White Maize;-;-;Kathonzweni;51.00/Kg;60.00/Kg;30000;Makueni;2023-11-14
Dry Maize;Yellow Maize;-;-;Gikomba;92.22/Kg;115.00/Kg;15000;Nairobi;2023-11-14
Dry Maize;White Maize;-;-;Gikomba;66.67/Kg;80.00/Kg;;Nairobi;2023-11-14
Dry Maize;Mixed-Traditional ;-;-;Kapsabet Market;50.00/Kg;44.00/Kg;3500;Nandi;2023-11-14
Dry Maize;Mixed-Traditional ;-;-;Nyamakima;55.56/Kg;80.00/Kg;;Nairobi;2023-11-14
Dry Maize;Mixed-Traditional ;-;-;Nkubu;55.56/Kg;60.00/Kg;900;Meru;2023-11-14
Dry Maize;White Maize;-;-;Marindi;44.44/Kg;45.83/Kg;16200;Migori;2023-11-13
Dry Maize;White Maize;-;-;Cheptulu; - ;60.00/Kg;2650;Vihiga;2023-11-13
Dry Maize;White Maize;-;-;Mabera;40.00/Kg;48.00/Kg;4800;Migori;2023-11-13
Dry Maize;White Maize;-;-;Isebania Market; - ;56.00/Kg;10000;Migori;2023-11-12
Dry Maize;White Maize;-;-;Kibiok;32.00/Kg;36.00/Kg;7500;Nandi;2023-11-12
Dry Maize;Mixed-Traditional ;-;-;Mabera;40.00/Kg;48.00/Kg;4800;Migori;2023-11-12
Dry Maize;White Maize;-;-;Mabera;40.00/Kg;48.00/Kg;4800;Migori;2023-11-12
Dry Maize;White Maize;-;-;Rongo;39.49/Kg;47.39/Kg;2000;Migori;2023-11-12
Dry Maize;White Maize;-;-;Muhoroni;60.00/Kg;65.00/Kg;2000;Kisumu;2023-11-12
Dry Maize;White Maize;-;-;Molo; - ;4000.00/Kg;4300;Nakuru;2023-11-11
Dry Maize;White Maize;-;-;Makutano Kirinyaga;44.44/Kg;60.00/Kg;6000;Kirinyaga;2023-11-11
Dry Maize;White Maize;-;-;Embu Town;55.56/Kg;75.00/Kg;6000;Embu;2023-11-11
Dry Maize;White Maize;-;-;Kerugoya;45.00/Kg;55.00/Kg;4500;Kirinyaga;2023-11-10
Dry Maize;Mixed-Traditional ;-;-;Chwele;48.89/Kg;48.00/Kg;2700;Bungoma;2023-11-10
Dry Maize;White Maize;-;-;Cheptulu; - ;60.00/Kg;3000;Vihiga;2023-11-10
Dry Maize;White Maize;-;-;Katito;53.33/Kg;65.00/Kg;6500;Kisumu;2023-11-10
Dry Maize;White Maize;-;-;Kisasi;40.00/Kg;65.00/Kg;;Kitui;2023-11-10
Dry Maize;White Maize;-;-;Nakuru Top Market;44.44/Kg; - ;7650;Nakuru;2023-11-10
Dry Maize;White Maize;-;-;Ngurubani Market;44.44/Kg;60.00/Kg;6000;Kirinyaga;2023-11-10
Dry Maize;Mixed-Traditional ;-;-;Chuka;53.33/Kg;70.00/Kg;4500;Tharaka-Nithi;2023-11-10
Dry Maize;White Maize;-;-;Emali Market;70.00/Kg;80.00/Kg;5310;Makueni;2023-11-10
Dry Maize;White Maize;-;-;Wundanyi; - ;65.00/Kg;450;Taita-Taveta;2023-11-10
Dry Maize;White Maize;-;-;Wundanyi; - ;65.00/Kg;450;Taita-Taveta;2023-11-10
Dry Maize;White Maize;-;-;Naivasha Market;50.00/Kg;60.00/Kg;;Nakuru;2023-11-09
Dry Maize;Mixed-Traditional ;-;-;Bahati;90.00/Kg;80.00/Kg;90;Nakuru;2023-11-09
Dry Maize;White Maize;-;-;Tseikuru;53.33/Kg;55.00/Kg;2500;Kitui;2023-11-09
Dry Maize;Yellow Maize;-;-;Nakuru Top Market;60.00/Kg; - ;;Nakuru;2023-11-09
Dry Maize;White Maize;-;-;Nakuru Top Market;44.44/Kg; - ;;Nakuru;2023-11-09
Dry Maize;White Maize;-;-;Maua;61.11/Kg;70.00/Kg;12600;Meru;2023-11-09
Dry Maize;White Maize;-;-;Busia Market;50.00/Kg;60.00/Kg;360;Busia;2023-11-09
Dry Maize;Yellow Maize;-;-;Gikomba;95.56/Kg;115.00/Kg;;Nairobi;2023-11-09
Dry Maize;White Maize;-;-;Kitale Municipality Market;60.00/Kg;65.00/Kg;2000;Trans-Nzoia;2023-11-09
Dry Maize;White Maize;-;-;Gikomba;66.67/Kg;85.00/Kg;;Nairobi;2023-11-09
Dry Maize;White Maize;-;-;Nyamakima;55.56/Kg;80.00/Kg;;Nairobi;2023-11-09
Dry Maize;White Maize;-;-;Nyeri open air;48.89/Kg;60.00/Kg;6300;Nyeri;2023-11-08
Dry Maize;White Maize;-;-;Miruka;46.67/Kg;60.00/Kg;4500;Nyamira;2023-11-08
Dry Maize;Mixed-Traditional ;-;-;Miruka; - ;65.00/Kg;540;Nyamira;2023-11-08
Dry Maize;White Maize;-;-;Serem - Nandi;41.67/Kg;50.00/Kg;1700;Nandi;2023-11-08
Dry Maize;Yellow Maize;-;-;Nakuru Top Market;60.00/Kg; - ;1800;Nakuru;2023-11-08
Dry Maize;White Maize;-;-;Nakuru Top Market;44.44/Kg; - ;;Nakuru;2023-11-08
Dry Maize;White Maize;-;-;Kangeta;55.00/Kg;60.00/Kg;1700;Meru;2023-11-08
Dry Maize;Yellow Maize;-;-;Nakuru Top Market; - ;50.00/Kg;;Nakuru;2023-11-08
Dry Maize;White Maize;-;-;Nakuru Top Market; - ;45.00/Kg;;Nakuru;2023-11-08
Dry Maize;Yellow Maize;-;-;Gikomba;95.56/Kg;115.00/Kg;;Nairobi;2023-11-08
Dry Maize;White Maize;-;-;Gikomba;66.67/Kg;85.00/Kg;12000;Nairobi;2023-11-08
Dry Maize;White Maize;-;-;Embu Town;55.56/Kg;75.00/Kg;5000;Embu;2023-11-08
Dry Maize;Mixed-Traditional ;-;-;Embu Town;555.56/Kg;75.00/Kg;1000;Embu;2023-11-08
Dry Maize;White Maize;-;-;Muhoroni;55.00/Kg;60.00/Kg;1200;Kisumu;2023-11-08
Dry Maize;White Maize;-;-;Rongo;35.56/Kg;39.51/Kg;1600;Migori;2023-11-08
Dry Maize;White Maize;-;-;Kamukuywa;44.44/Kg;55.00/Kg;7000;Bungoma;2023-11-07
Dry Maize;White Maize;-;-;Cheptulu; - ;55.00/Kg;2650;Vihiga;2023-11-07
Dry Maize;White Maize;-;-;Isebania Market; - ;56.00/Kg;5000;Migori;2023-11-07
Dry Maize;Mixed-Traditional ;-;-;Bondeni;45.00/Kg;55.00/Kg;360;Trans-Nzoia;2023-11-07
Dry Maize;White Maize;-;-;Kerugoya;45.00/Kg;55.00/Kg;4500;Kirinyaga;2023-11-07
