Commodity;Classification;Grade;Sex;Market;Wholesale;Retail;Supply Volume;County;Date
Dry Maize;Mixed-Traditional ;-;-;Kagunduini;65.00/Kg;80.00/Kg;300;Muranga;2023-05-12
Dry Maize;White Maize;-;-;Kagunduini;60.00/Kg;80.00/Kg;5000;Muranga;2023-05-12
Dry Maize;White Maize;-;-;Gakindu;68.89/Kg;72.73/Kg;3600;Nyeri;2023-05-12
Dry Maize;Mixed-Traditional ;-;-;Wundanyi; - ;75.00/Kg;540;Taita-Taveta;2023-05-12
Dry Maize;Mixed-Traditional ;-;-;Diani Market;70.00/Kg;80.00/Kg;5000;Kwale;2023-05-11
Dry Maize;White Maize;-;-;Mabera;60.00/Kg;64.00/Kg;6400;Migori;2023-05-11
Dry Maize;Mixed-Traditional ;-;-;Kitale Municipality Market;50.00/Kg;80.00/Kg;6000;Trans-Nzoia;2023-05-11
Dry Maize;White Maize;-;-;Rongo;62.22/Kg;59.24/Kg;45000;Migori;2023-05-11
Dry Maize;White Maize;-;-;Kericho Town; - ;90.00/Kg;35000;Kericho;2023-05-11
Dry Maize;Mixed-Traditional ;-;-;Nakuru Top Market; - ;100.00/Kg;;Nakuru;2023-05-11
Dry Maize;White Maize;-;-;Ndhiwa;75.00/Kg;80.00/Kg;4000;Homa-bay;2023-05-11
Dry Maize;Mixed-Traditional ;-;-;Kimilili town;80.00/Kg;85.00/Kg;7000;Bungoma;2023-05-11
Dry Maize;White Maize;-;-;Aram;72.22/Kg;83.06/Kg;21600;Siaya;2023-05-11
Dry Maize;White Maize;-;-;Kiritiri;66.70/Kg;80.00/Kg;5700;Embu;2023-05-11
Dry Maize;Mixed-Traditional ;-;-;Kiritiri;66.70/Kg;80.00/Kg;6800;Embu;2023-05-11
Dry Maize;Mixed-Traditional ;-;-;Kiserian crops market;55.56/Kg;60.00/Kg;4800;Kajiado;2023-05-11
Dry Maize;White Maize;-;-;Kakamega Town;61.11/Kg;80.00/Kg;10000;Kakamega;2023-05-11
Dry Maize;White Maize;-;-;Maua;57.78/Kg;70.00/Kg;54000;Meru;2023-05-11
Dry Maize;White Maize;-;-;Cheptiret - Uasin Gishu;70.00/Kg;75.00/Kg;3000;Uasin-Gishu;2023-05-11
